scene_id,scenario_type,method,message,target_id,choice_id,listener,confidence,reason_code,auto_error_category,notes,author_category,target_description,choice_description,author_note
po_000018,partial_observability,hybrid_local_mirror_api_eval,Small red sphere.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: small red sphere at row 3, column 2","obj_2: small red sphere at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000018,partial_observability,hybrid_local_mirror_api_eval,Small red sphere.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: small red sphere at row 3, column 2","obj_2: small red sphere at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000037,partial_observability,hybrid_local_mirror_api_eval,It’s a large red sphere.,obj_1,obj_2,L_test_direct_last_api,0.9,attribute,listener_misparse_or_other,,underspecified_distractor,"obj_1: large red sphere at row 3, column 2","obj_2: large red sphere at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000037,partial_observability,hybrid_local_mirror_api_eval,It’s a large red sphere.,obj_1,obj_2,L_test_strict_last_api,0.9,attribute,listener_misparse_or_other,,underspecified_distractor,"obj_1: large red sphere at row 3, column 2","obj_2: large red sphere at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000008,partial_observability,hybrid_local_mirror_api_eval,Small blue cube.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: small blue cube at row 3, column 2","obj_2: small blue cube at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000008,partial_observability,hybrid_local_mirror_api_eval,Small blue cube.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: small blue cube at row 3, column 2","obj_2: small blue cube at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000013,partial_observability,hybrid_local_mirror_api_eval,Large yellow cube.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: large yellow cube at row 3, column 2","obj_2: large yellow cube at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000013,partial_observability,hybrid_local_mirror_api_eval,Large yellow cube.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: large yellow cube at row 3, column 2","obj_2: large yellow cube at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000034,partial_observability,hybrid_local_mirror_api_eval,Small green cube.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: small green cube at row 3, column 2","obj_2: small green cube at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000034,partial_observability,hybrid_local_mirror_api_eval,Small green cube.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: small green cube at row 3, column 2","obj_2: small green cube at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000025,partial_observability,hybrid_local_mirror_api_eval,It’s the large red cylinder.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: large red cylinder at row 3, column 2","obj_2: large red cylinder at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000025,partial_observability,hybrid_local_mirror_api_eval,It’s the large red cylinder.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: large red cylinder at row 3, column 2","obj_2: large red cylinder at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000015,partial_observability,hybrid_local_mirror_api_eval,Large green cylinder.,obj_1,obj_2,L_test_direct_last_api,0.4,ambiguous,underspecified,,underspecified_distractor,"obj_1: large green cylinder at row 3, column 2","obj_2: large green cylinder at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000015,partial_observability,hybrid_local_mirror_api_eval,Large green cylinder.,obj_1,obj_2,L_test_strict_last_api,0.9,attribute,listener_misparse_or_other,,underspecified_distractor,"obj_1: large green cylinder at row 3, column 2","obj_2: large green cylinder at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000039,partial_observability,hybrid_local_mirror_api_eval,Large yellow sphere.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: large yellow sphere at row 3, column 2","obj_2: large yellow sphere at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000039,partial_observability,hybrid_local_mirror_api_eval,Large yellow sphere.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: large yellow sphere at row 3, column 2","obj_2: large yellow sphere at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000032,partial_observability,hybrid_local_mirror_api_eval,It’s a small blue cube.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: small blue cube at row 3, column 2","obj_2: small blue cube at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000032,partial_observability,hybrid_local_mirror_api_eval,It’s a small blue cube.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: small blue cube at row 3, column 2","obj_2: small blue cube at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000044,partial_observability,hybrid_local_mirror_api_eval,Pick the large yellow cylinder.,obj_1,obj_2,L_test_direct_last_api,0.9,attribute,listener_misparse_or_other,,underspecified_distractor,"obj_1: large yellow cylinder at row 3, column 2","obj_2: large yellow cylinder at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000044,partial_observability,hybrid_local_mirror_api_eval,Pick the large yellow cylinder.,obj_1,obj_2,L_test_strict_last_api,0.9,attribute,listener_misparse_or_other,,underspecified_distractor,"obj_1: large yellow cylinder at row 3, column 2","obj_2: large yellow cylinder at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000006,partial_observability,hybrid_local_mirror_api_eval,Large yellow sphere.,obj_1,obj_2,L_test_direct_last_api,0.9,attribute,listener_misparse_or_other,,underspecified_distractor,"obj_1: large yellow sphere at row 3, column 2","obj_2: large yellow sphere at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000006,partial_observability,hybrid_local_mirror_api_eval,Large yellow sphere.,obj_1,obj_2,L_test_strict_last_api,0.9,attribute,listener_misparse_or_other,,underspecified_distractor,"obj_1: large yellow sphere at row 3, column 2","obj_2: large yellow sphere at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000045,partial_observability,hybrid_local_mirror_api_eval,Large blue cylinder.,obj_1,obj_2,L_test_direct_last_api,0.4,ambiguous,underspecified,,underspecified_distractor,"obj_1: large blue cylinder at row 3, column 2","obj_2: large blue cylinder at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000045,partial_observability,hybrid_local_mirror_api_eval,Large blue cylinder.,obj_1,obj_2,L_test_strict_last_api,0.4,ambiguous,underspecified,,underspecified_distractor,"obj_1: large blue cylinder at row 3, column 2","obj_2: large blue cylinder at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000004,partial_observability,hybrid_local_mirror_api_eval,Large red sphere.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: large red sphere at row 3, column 2","obj_2: large red sphere at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000004,partial_observability,hybrid_local_mirror_api_eval,Large red sphere.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: large red sphere at row 3, column 2","obj_2: large red sphere at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000000,partial_observability,hybrid_local_mirror_api_eval,Large red sphere.,obj_1,obj_2,L_test_direct_last_api,0.0,attribute,listener_misparse_or_other,,underspecified_distractor,"obj_1: large red sphere at row 3, column 2","obj_2: large red sphere at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000000,partial_observability,hybrid_local_mirror_api_eval,Large red sphere.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: large red sphere at row 3, column 2","obj_2: large red sphere at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000014,partial_observability,hybrid_local_mirror_api_eval,Large blue cylinder.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: large blue cylinder at row 3, column 2","obj_2: large blue cylinder at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000014,partial_observability,hybrid_local_mirror_api_eval,Large blue cylinder.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: large blue cylinder at row 3, column 2","obj_2: large blue cylinder at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000019,partial_observability,hybrid_local_mirror_api_eval,It’s a large green sphere.,obj_1,obj_2,L_test_direct_last_api,0.9,attribute,listener_misparse_or_other,,underspecified_distractor,"obj_1: large green sphere at row 3, column 2","obj_2: large green sphere at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000019,partial_observability,hybrid_local_mirror_api_eval,It’s a large green sphere.,obj_1,obj_2,L_test_strict_last_api,0.9,attribute,listener_misparse_or_other,,underspecified_distractor,"obj_1: large green sphere at row 3, column 2","obj_2: large green sphere at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000040,partial_observability,hybrid_local_mirror_api_eval,Large green cylinder.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: large green cylinder at row 3, column 2","obj_2: large green cylinder at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000040,partial_observability,hybrid_local_mirror_api_eval,Large green cylinder.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: large green cylinder at row 3, column 2","obj_2: large green cylinder at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000030,partial_observability,hybrid_local_mirror_api_eval,It’s a small blue sphere.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: small blue sphere at row 3, column 2","obj_2: small blue sphere at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000030,partial_observability,hybrid_local_mirror_api_eval,It’s a small blue sphere.,obj_1,obj_2,L_test_strict_last_api,0.4,ambiguous,underspecified,,underspecified_distractor,"obj_1: small blue sphere at row 3, column 2","obj_2: small blue sphere at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000021,partial_observability,hybrid_local_mirror_api_eval,Large blue cylinder.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: large blue cylinder at row 3, column 2","obj_2: large blue cylinder at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000021,partial_observability,hybrid_local_mirror_api_eval,Large blue cylinder.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: large blue cylinder at row 3, column 2","obj_2: large blue cylinder at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000035,partial_observability,hybrid_local_mirror_api_eval,Small red cylinder.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: small red cylinder at row 3, column 2","obj_2: small red cylinder at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
po_000035,partial_observability,hybrid_local_mirror_api_eval,Small red cylinder.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,,underspecified_distractor,"obj_1: small red cylinder at row 3, column 2","obj_2: small red cylinder at row 3, column 4",The message names attributes shared by the target and distractor but omits a disambiguating coordinate or landmark.
